ZDAY,CENTERLON,CENTERLAT,TOTAL_COUNT
20110101,-89.4,30.7,2
20110101,-86.6,30.3,1
20110101,-86.6,40.4,1
20110101,-86.1,29.8,4
20110101,-89.2,32,7
20110101,-86.3,39.2,3
20110101,-89.1,33.3,8
20110101,-88.2,29.3,1
20110101,-89.1,29.9,8
20110101,-84.8,40.9,2
20110101,-85.7,34.6,1
20110101,-91.7,32.7,3
20110101,-86.7,29.3,2
20110101,-87.8,34.9,4
20110101,-87.1,37.9,1
20110101,-86.9,34.1,6
20110101,-90.5,31.4,1
20110101,-81.6,40.6,2
20110101,-84.8,35.9,1
20110101,-88.8,29.6,3
20110101,-88.9,32.1,7
20110101,-86.6,30.7,5
20110101,-91,32.9,11
20110101,-85,32.7,1
20110101,-85.8,40.1,5
20110101,-89.1,32.5,10
20110101,-88,32.3,12
20110101,-84.8,40.6,1
20110101,-91.2,33.1,1
20110101,-86.6,33.7,3
20110101,-89.1,32.6,27
20110101,-91.8,32.7,3
20110101,-86.2,30.3,7
20110101,-92,32.7,3
20110101,-87.1,30.9,2
20110101,-91.4,32,8
20110101,-90,36.6,5
20110101,-85.1,41.4,1
20110101,-88.8,33.8,16
20110101,-91.5,33.2,3
20110101,-88.2,38.4,4
20110101,-88.1,28.8,1
20110101,-87.9,33.2,4
20110101,-90.5,35,14
20110101,-89.3,35.8,1
20110101,-86.3,39.4,1
20110101,-89.6,31.2,3
20110101,-90.4,36.7,2
20110101,-87.2,31.5,1
20110101,-90.8,36.2,5
20110101,-90.1,37.2,1
20110101,-86.4,40.3,1
20110101,-93,31.8,13
20110101,-86.5,39.8,10
20110101,-86.1,34.8,4
20110101,-89.1,32,3
20110101,-85.6,40.7,3
20110101,-86.2,31.9,1
20110101,-90.3,35,2
20110101,-88.5,37.7,2
20110101,-87.8,38.4,1
20110101,-91.8,32.5,31
20110101,-86.5,34.4,4
20110101,-84.2,41.3,2
20110101,-85.4,35.9,1
20110101,-86.8,35.2,2
20110101,-86.7,31.1,3
20110101,-86.5,30.7,2
20110101,-88.5,32.5,3
20110101,-85.4,36.1,2
20110101,-86.7,31,1
20110101,-85.2,36.1,1
20110101,-86.3,29.9,4
20110101,-86.3,36.2,4
20110101,-87,39.3,1
20110101,-85.9,33.7,3
20110101,-87,42,3
20110101,-88,30.8,1
20110101,-84.8,41.3,2
20110101,-88,33,9
20110101,-86.6,39.9,9
20110101,-89.8,35.3,3
20110101,-89,36.5,4
20110101,-87.9,38.6,1
20110101,-87.1,34,8
20110101,-84.2,39.4,1
20110101,-88.4,32.9,5
20110101,-89.6,35.5,7
20110101,-88.4,29.2,8
20110101,-90.5,30.6,2
20110101,-86.8,39,3
20110101,-89.8,37.5,3
20110101,-86.9,37.7,2
20110101,-87.5,32.7,3
20110101,-83.9,38.2,1
20110101,-90.2,31.9,2
20110101,-86.8,34,6
20110101,-90.8,35,3
20110101,-88.6,37.6,2
20110101,-89.1,31.5,8
20110101,-85.9,41.2,1
20110101,-87.7,30.4,7
20110101,-87.5,38.9,1
20110101,-86.2,30.1,1
20110101,-85.9,35.5,2
20110101,-91.4,32.9,5
20110101,-86.7,35.7,2
20110101,-87.3,34.5,3
20110101,-87.5,33.5,3
20110101,-85.4,36.5,1
20110101,-89.6,31.5,4
20110101,-86.9,35.5,3
20110101,-86.5,35.2,3
20110101,-86.7,38.9,3
20110101,-90.2,30.8,1
20110101,-84.6,38.4,1
20110101,-86.9,33,4
20110101,-87.8,33.7,7
20110101,-88.8,36,2
20110101,-87.9,31,1
20110101,-91.2,32,8
20110101,-88,32.6,2
20110101,-87.2,34.4,7
20110101,-87.3,35.2,1
20110101,-90.9,34.1,4
20110101,-86.9,34.3,6
20110101,-88.5,32.8,22
20110101,-87.3,33.2,5
20110101,-86.4,29.4,2
20110101,-89.3,36,1
20110101,-86.7,40,7
20110101,-86.7,34.6,17
20110101,-91.2,33.9,6
20110101,-89.6,33.1,3
20110101,-87.8,30.2,10
20110101,-87.2,34.7,4
20110101,-85.7,32.6,1
20110101,-87,39,3
20110101,-91.5,32.7,20
20110101,-89.9,32.1,15
20110101,-85.3,35.3,4
20110101,-88.6,38.3,1
20110101,-86.4,35.3,6
20110101,-88.8,36.7,3
20110101,-87.3,41.6,7
20110101,-85.5,41.5,2
20110101,-86.4,33.8,8
20110101,-86.1,39.2,1
20110101,-87.1,40.1,1
20110101,-88.4,32,7
20110101,-91.4,34.6,2
20110101,-83.9,39.6,2
20110101,-85.2,38.7,1
20110101,-89.3,29.2,1
20110101,-87.5,31.8,4
20110101,-84.6,38.6,2
20110101,-86.4,30,1
20110101,-89.1,28.6,1
20110101,-83.5,37.6,1
20110101,-88.7,33,27
20110101,-86.6,29.4,3
20110101,-89.7,34.9,2
20110101,-87.8,31.6,1
20110101,-89,29,4
20110101,-87.5,33.1,11
20110101,-89.5,31.3,9
20110101,-89.3,29.7,5
20110101,-91.6,32.3,1
20110101,-88.9,33,6
20110101,-85,40.9,4
20110101,-89.7,39.2,3
20110101,-91.5,32.1,1
20110101,-91.3,34,11
20110101,-89.1,39.5,1
20110101,-84.8,41.6,1
20110101,-90.6,29.7,1
20110101,-87.6,33.8,3
20110101,-84.1,38.4,1
20110101,-85.5,40.2,1
20110101,-87.4,38.2,4
20110101,-87.2,33.2,7
20110101,-84.4,38,1
20110101,-87.1,35,4
20110101,-93.1,31.7,7
20110101,-90.4,35.3,2
20110101,-85.6,32.1,6
20110101,-86.1,35.9,2
20110101,-89.5,36,3
20110101,-90.9,33.1,3
20110101,-88.4,31.5,6
20110101,-86.9,35,2
20110101,-89.1,32.2,3
20110101,-91,32.2,40
20110101,-90.8,33.2,2
20110101,-85.8,34.5,5
20110101,-91.2,32.9,13
20110101,-84.4,29.3,1
20110101,-92.7,32.6,1
20110101,-90,33,14
20110101,-87.5,30.9,3
20110101,-89.4,28.8,3
20110101,-91.5,35,1
20110101,-91.3,31,13
20110101,-93.4,31.3,6
20110101,-93.2,32.2,3
20110101,-91.8,33,5
20110101,-88.4,38.7,1
20110101,-88.7,31.2,1
20110101,-90,35.1,3
20110101,-88.7,34.1,11
20110101,-90,36.8,1
20110101,-88.2,32.7,21
20110101,-90.6,31.9,2
20110101,-91.4,32.3,4
20110101,-91.2,31.1,10
20110101,-84.7,37.8,1
20110101,-86.9,39.1,4
20110101,-87.8,34,6
20110101,-90.6,31.8,1
20110101,-83.7,39.8,1
20110101,-87.3,37.2,1
20110101,-88.3,32.5,16
20110101,-87.3,34.4,11
20110101,-89.6,29.3,2
20110101,-92.2,32.4,11
20110101,-90.8,34.7,10
20110101,-84,41.5,2
20110101,-85.8,32.8,2
20110101,-89.9,34.7,4
20110101,-88,33.9,3
20110101,-89.9,32.3,3
20110101,-85.6,40.1,1
20110101,-87.2,38.8,1
20110101,-84.9,36.3,1
20110101,-86.2,33.6,1
20110101,-84.8,33.4,1
20110101,-87.6,35.1,2
20110101,-90,32,20
20110101,-88.1,33.5,6
20110101,-87.2,32.8,1
20110101,-86.4,35.7,3
20110101,-92.5,33,2
20110101,-89,30,1
20110101,-91.6,31.4,4
20110101,-89.3,34.5,1
20110101,-88.4,33.6,6
20110101,-86.7,29.7,5
20110101,-87.8,38.6,3
20110101,-91,30.7,9
20110101,-91,31.8,13
20110101,-87.6,30.3,1
20110101,-91.8,33.1,5
20110101,-89.7,38.7,1
20110101,-92.9,32.3,1
20110101,-84.7,39.2,2
20110101,-85.8,40,7
20110101,-88.6,36.3,1
20110101,-86.8,29.7,1
20110101,-87.9,38.4,3
20110101,-86.4,29.5,10
20110101,-88.7,32.7,15
20110101,-85.3,41.3,2
20110101,-92.7,31.8,11
20110101,-85.8,35.4,3
20110101,-87,37.3,1
20110101,-81.2,38.5,5
20110101,-86.5,34.5,9
20110101,-86.7,34.2,3
20110101,-84.5,41,2
20110101,-78.6,42.6,1
20110101,-88.5,33.8,8
20110101,-85.5,41.6,2
20110101,-90.3,33.4,11
20110101,-88,30.6,2
20110101,-89.8,35.2,1
20110101,-86.6,28.6,1
20110101,-87.9,30,2
20110101,-90.8,31.7,6
20110101,-85.6,33,1
20110101,-89.6,28.7,1
20110101,-85.2,36.2,3
20110101,-88.8,31.6,1
20110101,-87.9,30.7,1
20110101,-88,37.4,6
20110101,-86.2,30,2
20110101,-84.8,39.1,1
20110101,-88.5,29.6,1
20110101,-88.3,29.8,6
20110101,-85.9,39.2,1
20110101,-92.5,33.2,3
20110101,-87.5,33.8,13
20110101,-87.7,29.3,3
20110101,-90.2,31.6,2
20110101,-89.5,32.2,1
20110101,-91.7,34,2
20110101,-86.2,39.7,11
20110101,-91,34.3,4
20110101,-89.4,30.8,1
20110101,-85.7,36.4,1
20110101,-90.9,35.1,4
20110101,-92.1,31.9,13
20110101,-86.5,32.2,4
20110101,-88.9,31.2,5
20110101,-85.7,34,3
20110101,-85.7,29.8,3
20110101,-90.6,36.5,4
20110101,-87.1,29.4,10
20110101,-88.1,31.8,7
20110101,-85.6,30.3,1
20110101,-90.6,35.7,3
20110101,-90,31.2,3
20110101,-86.2,38.9,4
20110101,-91,32.8,5
20110101,-90,33.1,12
20110101,-92.1,33.3,4
20110101,-89,35.7,1
20110101,-88.8,30,5
20110101,-87.7,29.6,5
20110101,-90,31.4,6
20110101,-88.8,32.3,6
20110101,-86.8,31.9,1
20110101,-87,33,3
20110101,-87.7,31.2,1
20110101,-87.5,37.3,2
20110101,-78.6,42.7,2
20110101,-88.6,28.7,5
20110101,-89.9,35.4,4
20110101,-84.9,39.1,1
20110101,-92.3,32.4,2
20110101,-86.5,33.1,3
20110101,-86.9,28.9,2
20110101,-86.9,39.8,8
20110101,-90,38.9,2
20110101,-89.7,38.6,1
20110101,-89.9,30.6,6
20110101,-90.3,36.3,3
20110101,-85.8,35.8,3
20110101,-87.1,38.6,2
20110101,-86.4,34.9,5
20110101,-84,39.2,2
20110101,-87.9,32.2,2
20110101,-84.6,41,6
20110101,-85.6,40.2,2
20110101,-87,38.1,1
20110101,-86.3,39.1,3
20110101,-87.3,32.3,2
20110101,-86.1,40.6,1
20110101,-88.2,38.9,1
20110101,-85.9,35,3
20110101,-91.2,34.1,7
20110101,-89.4,36.5,1
20110101,-87.2,28.3,2
20110101,-85.8,30.6,2
20110101,-86.5,35.3,2
20110101,-87.6,39.1,3
20110101,-87.8,30.9,1
20110101,-86.5,39.1,1
20110101,-90.2,34.6,1
20110101,-89.7,36.6,1
20110101,-87.4,33.4,5
20110101,-89.6,38.8,1
20110101,-87.4,31,3
20110101,-86,30.5,1
20110101,-86.2,31.7,2
20110101,-87,40.2,2
20110101,-88.6,37.9,2
20110101,-85.8,41.3,2
20110101,-88.3,29.3,2
20110101,-88.1,29,1
20110101,-90,32.1,8
20110101,-86.9,33.1,1
20110101,-88.5,38.6,4
20110101,-88.9,36.6,3
20110101,-89.4,32.9,5
20110101,-93.1,31.2,5
20110101,-86.1,39.9,3
20110101,-86.7,36.3,1
20110101,-89.9,32.4,3
20110101,-92.1,32,10
20110101,-85.5,35.6,4
20110101,-86.5,33.7,12
20110101,-89.5,33.3,6
20110101,-84.7,32.3,1
20110101,-86.8,30.1,17
20110101,-91.4,32.5,12
20110101,-88,32.7,16
20110101,-86.2,34.2,2
20110101,-86.4,38.9,1
20110101,-83.9,32.2,2
20110101,-89.9,30.5,14
20110101,-88.2,32,5
20110101,-89,34.8,1
20110101,-92.7,31.3,7
20110101,-87.7,32.3,1
20110101,-87.1,31.6,1
20110101,-89.7,29.5,1
20110101,-91.1,34.6,1
20110101,-90.9,32.3,29
20110101,-91,33.7,1
20110101,-86.2,35,2
20110101,-87.8,34.4,1
20110101,-84.9,35.6,2
20110101,-87.8,38.5,4
20110101,-88.7,30.2,2
20110101,-89.3,32.2,1
20110101,-87.6,34.1,10
20110101,-86.5,38,1
20110101,-85.6,30.4,1
20110101,-86.8,38.9,3
20110101,-86.6,34.6,8
20110101,-89.8,30.5,11
20110101,-85.2,38.3,1
20110101,-86.5,29.8,4
20110101,-93.4,32,2
20110101,-87.4,34.6,1
20110101,-86.8,37.7,4
20110101,-87.7,38.7,3
20110101,-85.3,33.2,1
20110101,-87.3,32.7,1
20110101,-88.5,29.9,2
20110101,-90.2,30.3,15
20110101,-87.6,29.4,5
20110101,-88.5,34.3,5
20110101,-86.5,30.1,3
20110101,-88.2,33.8,3
20110101,-90.6,31,7
20110101,-90.5,30.8,2
20110101,-87,34.1,12
20110101,-88.6,40,1
20110101,-87.4,29.5,3
20110101,-86.6,36.3,1
20110101,-88.9,28.7,1
20110101,-86.2,41,1
20110101,-87,34.3,11
20110101,-91.1,31.5,1
20110101,-87.5,34,12
20110101,-88.8,33.1,6
20110101,-86.3,35.1,3
20110101,-87.9,38.2,2
20110101,-90.2,32.9,13
20110101,-85.9,35.3,2
20110101,-87.2,34.5,12
20110101,-88.5,32.2,2
20110101,-89.1,34.9,2
20110101,-80.3,41.6,1
20110101,-89.7,32.3,16
20110101,-90.4,35,2
20110101,-91.2,32.5,13
20110101,-85.9,40,4
20110101,-92.6,33,9
20110101,-83.7,39.6,2
20110101,-92.5,31.7,8
20110101,-87.4,37.8,1
20110101,-87.2,29,3
20110101,-84.5,38.5,1
20110101,-87.6,38.7,1
20110101,-88.5,38,3
20110101,-90.7,35.1,4
20110101,-91.9,31.9,5
20110101,-87.5,33.2,11
20110101,-90.9,35,1
20110101,-88.3,37.1,2
20110101,-88.8,31.9,2
20110101,-87.6,32.5,15
20110101,-88.9,31.8,1
20110101,-85.8,33.8,3
20110101,-91.3,33.2,1
20110101,-90.7,34.6,5
20110101,-85.1,40.1,1
20110101,-88.4,33.8,11
20110101,-89.2,31.1,1
20110101,-87.3,33.8,2
20110101,-83.1,37.4,3
20110101,-87.9,40.9,1
20110101,-90.6,38.5,1
20110101,-86.8,34.1,1
20110101,-87.3,29.3,9
20110101,-89.4,31.9,2
20110101,-93.5,31.1,3
20110101,-87.1,36,2
20110101,-86.9,29.2,1
20110101,-89,33.2,10
20110101,-93.1,32.2,4
20110101,-87.7,39,5
20110101,-86,39.9,6
20110101,-86.7,30.2,11
20110101,-90.4,35.7,2
20110101,-87.4,32.7,4
20110101,-85.9,39.8,2
20110101,-85.9,29.4,5
20110101,-90,35.5,1
20110101,-85.8,36.2,2
20110101,-86.6,34.7,12
20110101,-86.3,32,4
20110101,-85.9,35.8,4
20110101,-89.8,33.3,21
20110101,-86.8,38.4,1
20110101,-86.8,30,8
20110101,-89.9,34.4,1
20110101,-84.8,40.8,4
20110101,-86.7,32.7,2
20110101,-85.5,29.8,3
20110101,-87.7,30.6,3
20110101,-90.4,31,8
20110101,-85.3,36.1,4
20110101,-88.4,35.6,2
20110101,-86.8,34.3,8
20110101,-88.4,34.1,9
20110101,-85.2,35.8,2
20110101,-87,40,2
20110101,-87.7,29.9,2
20110101,-85.3,41,1
20110101,-90.6,38.8,1
20110101,-86.3,39.8,10
20110101,-84.3,41.4,3
20110101,-87.1,33.6,7
20110101,-88.7,32.6,10
20110101,-92.7,31.4,4
20110101,-87.3,29.5,5
20110101,-91.4,32.8,9
20110101,-91.7,32.9,4
20110101,-86.7,34,4
20110101,-86.9,38.9,1
20110101,-89.7,38.8,1
20110101,-87.9,37,1
20110101,-83.6,40.3,1
20110101,-90.1,32.9,4
20110101,-91.7,31.1,1
20110101,-87.9,34.2,6
20110101,-87.3,39.5,3
20110101,-86.7,29,1
20110101,-88.7,32,5
20110101,-89,29.9,9
20110101,-83.6,40.4,1
20110101,-87.5,41.5,1
20110101,-85.4,35.7,2
20110101,-85.5,35.2,2
20110101,-86.1,39.8,3
20110101,-90.8,32.4,20
20110101,-85.2,32.2,2
20110101,-85.6,30,1
20110101,-89,30.1,1
20110101,-89.7,36.1,5
20110101,-86.1,40.3,4
20110101,-86.4,39.1,1
20110101,-90.9,30.1,1
20110101,-88.4,29.4,2
20110101,-85.1,38.8,1
20110101,-87,38.6,2
20110101,-91.5,31.5,2
20110101,-86.3,41.5,1
20110101,-86.4,40.1,9
20110101,-86.7,30.8,5
20110101,-88.1,33.7,4
20110101,-86.1,34.5,2
20110101,-86.3,29.3,3
20110101,-89.9,32.6,7
20110101,-89.4,37.5,1
20110101,-87.7,34.7,4
20110101,-86.6,39.1,4
20110101,-89.6,35.2,1
20110101,-91.9,32.3,55
20110101,-87.1,30.7,2
20110101,-90.3,34.9,5
20110101,-88.9,31.4,3
20110101,-84,40.2,1
20110101,-92,32.6,6
20110101,-84.1,39.8,3
20110101,-87,40.1,4
20110101,-92.6,32,1
20110101,-90.3,32.5,11
20110101,-87.6,39,2
20110101,-90,35.9,8
20110101,-92.7,31.9,3
20110101,-90.5,35.1,9
20110101,-90.2,35.1,1
20110101,-90.8,34.5,3
20110101,-88.5,36.8,5
20110101,-84.8,32.5,4
20110101,-86.2,39.8,7
20110101,-88.6,32.7,3
20110101,-92,31.9,11
20110101,-88.2,32.9,11
20110101,-87.2,39.4,5
20110101,-85.6,31.4,1
20110101,-86.3,29.4,1
20110101,-89.1,34.7,2
20110101,-89.3,34.6,1
20110101,-83,37.5,1
20110101,-87.3,41.1,2
20110101,-88.5,33.4,7
20110101,-87.8,38.3,2
20110101,-90.1,32.8,2
20110101,-86.5,39.6,7
20110101,-90.5,34.9,10
20110101,-87.9,28.9,1
20110101,-87.1,39.4,3
20110101,-87.8,29.6,6
20110101,-85.3,29.4,3
20110101,-85.6,35.8,1
20110101,-91.8,33.8,1
20110101,-86.6,35.5,1
20110101,-87.3,34,8
20110101,-90.9,34.9,1
20110101,-91.7,27.8,1
20110101,-87,30,7
20110101,-87,31.6,3
20110101,-86.1,34.6,4
20110101,-85.6,29.1,1
20110101,-86.7,32.6,1
20110101,-91.5,34.1,2
20110101,-88.7,33.5,7
20110101,-89.2,37.5,1
20110101,-85.3,38.8,2
20110101,-90,33.9,1
20110101,-86.2,36.7,1
20110101,-87.8,38.1,1
20110101,-85.9,34.1,2
20110101,-88.2,32.1,6
20110101,-87,38.7,1
20110101,-87.2,28.2,1
20110101,-87.7,29.8,4
20110101,-81.3,38.4,8
20110101,-87.7,32.7,5
20110101,-85.8,33.2,1
20110101,-84.6,29.3,1
20110101,-86.7,29.6,5
20110101,-89.4,32.5,24
20110101,-88,34.5,8
20110101,-86.8,40.1,1
20110101,-88.6,31.6,1
20110101,-87,33.7,5
20110101,-89.1,28.8,2
20110101,-92.5,31.9,19
20110101,-91.2,31.9,7
20110101,-89.7,35,2
20110101,-86.8,39.4,9
20110101,-90.4,38.7,1
20110101,-89.4,33.7,24
20110101,-87.1,39,1
20110101,-89.9,33,10
20110101,-90.5,32.8,27
20110101,-86.1,35.4,1
20110101,-89.8,38.3,2
20110101,-85.2,40.7,2
20110101,-89.7,34,2
20110101,-91.1,37.3,1
20110101,-91.7,31.3,3
20110101,-89.2,31.3,1
20110101,-91.5,32.6,32
20110101,-90.4,30.9,1
20110101,-90.3,32.8,6
20110101,-91.3,34.3,2
20110101,-83.9,40.2,2
20110101,-92.2,31.7,2
20110101,-88.4,32.7,13
20110101,-87.5,30.7,2
20110101,-87.2,30.7,2
20110101,-86.6,34.2,4
20110101,-85.8,34.2,2
20110101,-85.8,39.3,3
20110101,-87,35,2
20110101,-85.6,35.2,2
20110101,-86.3,35.4,2
20110101,-87.7,38.3,1
20110101,-87.5,34.2,9
20110101,-87,30.2,7
20110101,-83.7,41.7,1
20110101,-85.1,41.3,3
20110101,-88.7,31.8,3
20110101,-78.7,43.2,1
20110101,-86.4,32.6,1
20110101,-87.3,34.6,3
20110101,-86.1,36,3
20110101,-88.9,29.9,2
20110101,-91.6,32.7,21
20110101,-90.7,32.7,18
20110101,-89.5,32.3,23
20110101,-91,31.3,7
20110101,-91.6,33.3,5
20110101,-85.1,38.5,2
20110101,-91.4,32.6,23
20110101,-90.6,34.9,16
20110101,-90,38.7,1
20110101,-86.2,40.4,2
20110101,-87.7,35,2
20110101,-85.6,35.1,1
20110101,-86.6,38.3,1
20110101,-89.2,29.7,7
20110101,-88.6,36.7,5
20110101,-86.5,40.1,4
20110101,-86.2,40.3,1
20110101,-87,33.5,2
20110101,-90.5,39,1
20110101,-90,36.3,1
20110101,-85.9,29.7,1
20110101,-90.1,35.9,5
20110101,-89.1,29.5,1
20110101,-87.6,31.3,1
20110101,-87.5,35.1,1
20110101,-89.4,33.3,12
20110101,-86.5,35.7,1
20110101,-87,32.9,6
20110101,-85.8,29,2
20110101,-86,36,3
20110101,-83.1,41.7,1
20110101,-87.5,37.5,1
20110101,-88.2,34.2,1
20110101,-88.2,34.7,4
20110101,-88.1,32.2,3
20110101,-83.8,40.1,5
20110101,-87.3,31.4,1
20110101,-87.6,32,8
20110101,-86.2,38.1,1
20110101,-91.9,33.1,1
20110101,-89.8,37.3,2
20110101,-86.8,38.6,1
20110101,-90.7,35.5,2
20110101,-88.3,33.7,3
20110101,-88.1,33.3,17
20110101,-89.8,38.7,1
20110101,-88.1,37.3,5
20110101,-87.9,30.4,2
20110101,-84.5,38.8,1
20110101,-90.1,36.6,3
20110101,-85.8,33.9,5
20110101,-87.4,41.1,1
20110101,-89.5,39,2
20110101,-86.9,35.3,3
20110101,-88.4,31.7,1
20110101,-87.8,32.7,3
20110101,-91.5,35.1,1
20110101,-87.8,29.3,1
20110101,-86.8,29.2,5
20110101,-86.4,33.5,2
20110101,-87.8,29.2,1
20110101,-86.6,30,8
20110101,-88.4,33.1,31
20110101,-89.7,37.6,1
20110101,-88,31.9,13
